X,Y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.29358816
17,0.29358816
18,0.29358816
19,0.29358816
20,0.29358816
21,0.29358816
22,0.29358816
23,0.29358816
24,0.29358816
25,0.29358816
26,0.29358816
27,0.29358816
28,0.29358816
29,0.29358816
30,0.29358816
31,0.29358816
32,0.46070966
33,0.46070966
34,0.46070966
35,0.46070966
36,0.46070966
37,0.46070966
38,0.46070966
39,0.46070966
40,0.46070966
41,0.46070966
42,0.46070966
43,0.46070966
44,0.46070966
45,0.46070966
46,0.46070966
47,0.46070966
48,0.4662569
49,0.4662569
50,0.4662569
51,0.4662569
52,0.4662569
53,0.4662569
54,0.4662569
55,0.4662569
56,0.4662569
57,0.4662569
58,0.4662569
59,0.4662569
60,0.4662569
61,0.4662569
62,0.4662569
63,0.4662569
64,0.4431211
65,0.4431211
66,0.4431211
67,0.4431211
68,0.4431211
69,0.4431211
70,0.4431211
71,0.4431211
72,0.4431211
73,0.4431211
74,0.4431211
75,0.4431211
76,0.4431211
77,0.4431211
78,0.4431211
79,0.4431211
80,0.37816307
81,0.37816307
82,0.37816307
83,0.37816307
84,0.37816307
85,0.37816307
86,0.37816307
87,0.37816307
88,0.37816307
89,0.37816307
90,0.37816307
91,0.37816307
92,0.37816307
93,0.37816307
94,0.37816307
95,0.37816307
96,0.3812446
97,0.3812446
98,0.3812446
99,0.3812446
100,0.3812446
101,0.3812446
102,0.3812446
103,0.3812446
104,0.3812446
105,0.3812446
106,0.3812446
107,0.3812446
108,0.3812446
109,0.3812446
110,0.3812446
111,0.3812446
112,0.36517444
113,0.36517444
114,0.36517444
115,0.36517444
116,0.36517444
117,0.36517444
118,0.36517444
119,0.36517444
120,0.36517444
121,0.36517444
122,0.36517444
123,0.36517444
124,0.36517444
125,0.36517444
126,0.36517444
127,0.36517444
128,0.31687012
129,0.31687012
130,0.31687012
131,0.31687012
132,0.31687012
133,0.31687012
134,0.31687012
135,0.31687012
136,0.31687012
137,0.31687012
138,0.31687012
139,0.31687012
140,0.31687012
141,0.31687012
142,0.31687012
143,0.31687012
144,0.27507475
145,0.27507475
146,0.27507475
147,0.27507475
148,0.27507475
149,0.27507475
150,0.27507475
151,0.27507475
152,0.27507475
153,0.27507475
154,0.27507475
155,0.27507475
156,0.27507475
157,0.27507475
158,0.27507475
159,0.27507475
160,0.29656965
161,0.29656965
162,0.29656965
163,0.29656965
164,0.29656965
165,0.29656965
166,0.29656965
167,0.29656965
168,0.29656965
169,0.29656965
170,0.29656965
171,0.29656965
172,0.29656965
173,0.29656965
174,0.29656965
175,0.29656965
176,0.35783732
177,0.35783732
178,0.35783732
179,0.35783732
180,0.35783732
181,0.35783732
182,0.35783732
183,0.35783732
184,0.35783732
185,0.35783732
186,0.35783732
187,0.35783732
188,0.35783732
189,0.35783732
190,0.35783732
191,0.35783732
192,0.5796413
193,0.5796413
194,0.5796413
195,0.5796413
196,0.5796413
197,0.5796413
198,0.5796413
199,0.5796413
200,0.5796413
201,0.5796413
202,0.5796413
203,0.5796413
204,0.5796413
205,0.5796413
206,0.5796413
207,0.5796413
208,0.8276691
209,0.8276691
210,0.8276691
211,0.8276691
212,0.8276691
213,0.8276691
214,0.8276691
215,0.8276691
216,0.8276691
217,0.8276691
218,0.8276691
219,0.8276691
220,0.8276691
221,0.8276691
222,0.8276691
223,0.8276691
224,0.8726644
225,0.8726644
226,0.8726644
227,0.8726644
228,0.8726644
229,0.8726644
230,0.8726644
231,0.8726644
232,0.8726644
233,0.8726644
234,0.8726644
235,0.8726644
236,0.8726644
237,0.8726644
238,0.8726644
239,0.8726644
240,0.7880422
241,0.7880422
242,0.7880422
243,0.7880422
244,0.7880422
245,0.7880422
246,0.7880422
247,0.7880422
248,0.7880422
249,0.7880422
250,0.7880422
251,0.7880422
252,0.7880422
253,0.7880422
254,0.7880422
255,0.7880422
256,0.8913608
257,0.8913608
258,0.8913608
259,0.8913608
260,0.8913608
261,0.8913608
262,0.8913608
263,0.8913608
264,0.8913608
265,0.8913608
266,0.8913608
267,0.8913608
268,0.8913608
269,0.8913608
270,0.8913608
271,0.8913608
272,0.96374285
273,0.96374285
274,0.96374285
275,0.96374285
276,0.96374285
277,0.96374285
278,0.96374285
279,0.96374285
280,0.96374285
281,0.96374285
282,0.96374285
283,0.96374285
284,0.96374285
285,0.96374285
286,0.96374285
287,0.96374285
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,0.9561206
305,0.9561206
306,0.9561206
307,0.9561206
308,0.9561206
309,0.9561206
310,0.9561206
311,0.9561206
312,0.9561206
313,0.9561206
314,0.9561206
315,0.9561206
316,0.9561206
317,0.9561206
318,0.9561206
319,0.9561206
320,0.9285516
321,0.9285516
322,0.9285516
323,0.9285516
324,0.9285516
325,0.9285516
326,0.9285516
327,0.9285516
328,0.9285516
329,0.9285516
330,0.9285516
331,0.9285516
332,0.9285516
333,0.9285516
334,0.9285516
335,0.9285516
336,0.84259504
337,0.84259504
338,0.84259504
339,0.84259504
340,0.84259504
341,0.84259504
342,0.84259504
343,0.84259504
344,0.84259504
345,0.84259504
346,0.84259504
347,0.84259504
348,0.84259504
349,0.84259504
350,0.84259504
351,0.84259504
352,0.8992295
353,0.8992295
354,0.8992295
355,0.8992295
356,0.8992295
357,0.8992295
358,0.8992295
359,0.8992295
360,0.8992295
361,0.8992295
362,0.8992295
363,0.8992295
364,0.8992295
365,0.8992295
366,0.8992295
367,0.8992295
368,0.90892947
369,0.90892947
370,0.90892947
371,0.90892947
372,0.90892947
373,0.90892947
374,0.90892947
375,0.90892947
376,0.90892947
377,0.90892947
378,0.90892947
379,0.90892947
380,0.90892947
381,0.90892947
382,0.90892947
383,0.90892947
384,0.8738271
385,0.8738271
386,0.8738271
387,0.8738271
388,0.8738271
389,0.8738271
390,0.8738271
391,0.8738271
392,0.8738271
393,0.8738271
394,0.8738271
395,0.8738271
396,0.8738271
397,0.8738271
398,0.8738271
399,0.8738271
400,0.8412457
401,0.8412457
402,0.8412457
403,0.8412457
404,0.8412457
405,0.8412457
406,0.8412457
407,0.8412457
408,0.8412457
409,0.8412457
410,0.8412457
411,0.8412457
412,0.8412457
413,0.8412457
414,0.8412457
415,0.8412457
416,0.6987897
417,0.6987897
418,0.6987897
419,0.6987897
420,0.6987897
421,0.6987897
422,0.6987897
423,0.6987897
424,0.6987897
425,0.6987897
426,0.6987897
427,0.6987897
428,0.6987897
429,0.6987897
430,0.6987897
431,0.6987897
432,0.57584035
433,0.57584035
434,0.57584035
435,0.57584035
436,0.57584035
