X,Y
0,0.088171326
1,0.088171326
2,0.088171326
3,0.088171326
4,0.088171326
5,0.088171326
6,0.088171326
7,0.088171326
8,0.088171326
9,0.088171326
10,0.088171326
11,0.088171326
12,0.088171326
13,0.088171326
14,0.088171326
15,0.088171326
16,0.69508916
17,0.69508916
18,0.69508916
19,0.69508916
20,0.69508916
21,0.69508916
22,0.69508916
23,0.69508916
24,0.69508916
25,0.69508916
26,0.69508916
27,0.69508916
28,0.69508916
29,0.69508916
30,0.69508916
31,0.69508916
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.96835834
49,0.96835834
50,0.96835834
51,0.96835834
52,0.96835834
53,0.96835834
54,0.96835834
55,0.96835834
56,0.96835834
57,0.96835834
58,0.96835834
59,0.96835834
60,0.96835834
61,0.96835834
62,0.96835834
63,0.96835834
64,0.75339544
65,0.75339544
66,0.75339544
67,0.75339544
68,0.75339544
69,0.75339544
70,0.75339544
71,0.75339544
72,0.75339544
73,0.75339544
74,0.75339544
75,0.75339544
76,0.75339544
77,0.75339544
78,0.75339544
79,0.75339544
80,0.5941342
81,0.5941342
82,0.5941342
83,0.5941342
84,0.5941342
85,0.5941342
86,0.5941342
87,0.5941342
88,0.5941342
89,0.5941342
90,0.5941342
91,0.5941342
92,0.5941342
93,0.5941342
94,0.5941342
95,0.5941342
96,0.4906255
97,0.4906255
98,0.4906255
99,0.4906255
100,0.4906255
101,0.4906255
102,0.4906255
103,0.4906255
104,0.4906255
105,0.4906255
106,0.4906255
107,0.4906255
108,0.4906255
109,0.4906255
110,0.4906255
111,0.4906255
112,0.37225387
113,0.37225387
114,0.37225387
115,0.37225387
116,0.37225387
117,0.37225387
118,0.37225387
119,0.37225387
120,0.37225387
121,0.37225387
122,0.37225387
123,0.37225387
124,0.37225387
125,0.37225387
126,0.37225387
127,0.37225387
128,0.35169345
129,0.35169345
130,0.35169345
131,0.35169345
132,0.35169345
133,0.35169345
134,0.35169345
135,0.35169345
136,0.35169345
137,0.35169345
138,0.35169345
139,0.35169345
140,0.35169345
141,0.35169345
142,0.35169345
143,0.35169345
144,0.35344684
145,0.35344684
146,0.35344684
147,0.35344684
148,0.35344684
149,0.35344684
150,0.35344684
151,0.35344684
152,0.35344684
153,0.35344684
154,0.35344684
155,0.35344684
156,0.35344684
157,0.35344684
158,0.35344684
159,0.35344684
160,0.32209823
161,0.32209823
162,0.32209823
163,0.32209823
164,0.32209823
165,0.32209823
166,0.32209823
167,0.32209823
168,0.32209823
169,0.32209823
170,0.32209823
171,0.32209823
172,0.32209823
173,0.32209823
174,0.32209823
175,0.32209823
176,0.22432777
177,0.22432777
178,0.22432777
179,0.22432777
180,0.22432777
181,0.22432777
182,0.22432777
183,0.22432777
184,0.22432777
185,0.22432777
186,0.22432777
187,0.22432777
188,0.22432777
189,0.22432777
190,0.22432777
191,0.22432777
